"day","halfhour","shape"
"01-SU",41,2.62300797460949
"01-SU",42,2.48558958304022
"01-SU",43,2.27799733314755
"01-SU",44,2.02926521680818
"01-SU",45,1.66510088510032
"01-SU",46,1.25221515411986
"01-SU",47,0.870365809959739
"01-SU",48,0.641430607581523
"01-WD",1,0.578586951785735
"01-WD",2,0.513479518413554
"01-WD",3,0.472512390082962
"01-WD",4,0.451936732390157
"01-WD",5,0.455790661625047
"01-WD",6,0.455473885426329
"01-WD",7,0.4533905950669
"01-WD",8,0.4697656284473
"01-WD",9,0.479802436572755
"01-WD",10,0.512167230462434
"01-WD",11,0.679144419260318
"01-WD",12,0.919854267279154
"01-WD",13,1.57268338268864
"01-WD",14,2.36545223796702
"01-WD",15,2.86789146377313
"01-WD",16,2.95673940640542
"01-WD",17,2.80515126052594
"01-WD",18,2.52633306026595
"01-WD",19,2.259298909967
"01-WD",20,2.10759634877148
"01-WD",21,1.98431498526189
"01-WD",22,1.90300405207414
"01-WD",23,1.84806450542729
"01-WD",24,1.83700613129774
"01-WD",25,1.88575635451211
"01-WD",26,1.92045698404347
"01-WD",27,1.94718741439623
"01-WD",28,1.98525688466846
"01-WD",29,2.00516399523682
"01-WD",30,2.06581692576638
"01-WD",31,2.20203576746574
"01-WD",32,2.33703300115565
"01-WD",33,2.65795211227274
"01-WD",34,2.96590860301044
"01-WD",35,3.1204120286775
"01-WD",36,3.09846011447334
"01-WD",37,3.08975060437982
"01-WD",38,3.06200048843423
"01-WD",39,2.99592913582288
"01-WD",40,2.91159554843462
"01-WD",41,2.78016328540673
"01-WD",42,2.65683362897286
"01-WD",43,2.44334328738172
"01-WD",44,2.17935168292828
"01-WD",45,1.79771556381151
"01-WD",46,1.33807374183706
"01-WD",47,0.967364081738021
"01-WD",48,0.730606948919396
"02-SA",1,0.494778361383576
"02-SA",2,0.409552375574623
"02-SA",3,0.365291510939006
"02-SA",4,0.337333643753845
"02-SA",5,0.326852743091443
"02-SA",6,0.320522263329802
"02-SA",7,0.328070092371619
"02-SA",8,0.339415358835995
"02-SA",9,0.355553866553277
"02-SA",10,0.393264002215485
"02-SA",11,0.523497876155828
"02-SA",12,0.691040617411576
"02-SA",13,1.20286592653923
"02-SA",14,1.87002382357259
"02-SA",15,2.49463983371892
"02-SA",16,2.81767826254439
"02-SA",17,2.80496842339518
"02-SA",18,2.66509711540872
"02-SA",19,2.3912590453783
"02-SA",20,2.16192668166139
"02-SA",21,1.9738127092384
"02-SA",22,1.85937923813045
"02-SA",23,1.76498776537617
"02-SA",24,1.72678048278443
"02-SA",25,1.78291412470762
"02-SA",26,1.80759707784226
"02-SA",27,1.81458239786878
"02-SA",28,1.84084434926731
"02-SA",29,1.82770271767286
"02-SA",30,1.85641984647255
"02-SA",31,1.96641316762021
"02-SA",32,2.05299685933579
"02-SA",33,2.33426482576691
"02-SA",34,2.67955510719224
"02-SA",35,2.84526451113496
"02-SA",36,2.83743856350536
"02-SA",37,2.84397244763748
"02-SA",38,2.78906821611595
"02-SA",39,2.67199326508794
"02-SA",40,2.57698811062467
"02-SA",41,2.42913873925862
"02-SA",42,2.29883668821514
"02-SA",43,2.10725629704443
"02-SA",44,1.88923798581521
"02-SA",45,1.57421283946315
"02-SA",46,1.20433875408456
"02-SA",47,0.883898226680252
"02-SA",48,0.65931029129598
"02-SU",1,0.482364792789267
"02-SU",2,0.437584021861356
"02-SU",3,0.374080481799215
"02-SU",4,0.345196916305345
"02-SU",5,0.333854087998595
"02-SU",6,0.324348915850794
"02-SU",7,0.323582023162404
"02-SU",8,0.331397469783891
"02-SU",9,0.338643807246308
"02-SU",10,0.380061171072758
"02-SU",11,0.499949404679934
"02-SU",12,0.679475542981251
"02-SU",13,1.16922010401415
"02-SU",14,1.78024764252472
"02-SU",15,2.34986419754012
"02-SU",16,2.64008725616016
"02-SU",17,2.65076540013441
"02-SU",18,2.55175569811536
"02-SU",19,2.34077357277006
"02-SU",20,2.21098308788244
"02-SU",21,2.0625279013766
"02-SU",22,1.96936148518806
"02-SU",23,1.8933120353923
"02-SU",24,1.83210095235288
"02-SU",25,1.92359445048657
"02-SU",26,1.93949560706391
"02-SU",27,1.9214436367244
"02-SU",28,1.93032147304536
"02-SU",29,1.93824004250664
"02-SU",30,1.93437978445621
"02-SU",31,2.02069491090759
"02-SU",32,2.09135612935989
"02-SU",33,2.33374389361531
"02-SU",34,2.62756832475807
"02-SU",35,2.79305432698211
"02-SU",36,2.77215044540345
"02-SU",37,2.73769669699406
"02-SU",38,2.6970363959961
"02-SU",39,2.61937683931019
"02-SU",40,2.55379110083948
"02-SU",41,2.41621836430244
"02-SU",42,2.28987925022532
"02-SU",43,2.08256434879408
"02-SU",44,1.81494752460031
"02-SU",45,1.46532991672655
"02-SU",46,1.05133671248737
"02-SU",47,0.705076363355371
"02-SU",48,0.498996295408302
"02-WD",1,0.44113058831556
"02-WD",2,0.369282055349678
"02-WD",3,0.349071055726641
"02-WD",4,0.328015803982575
"02-WD",5,0.323294695632684
"02-WD",6,0.328331381913668
"02-WD",7,0.327739631051197
"02-WD",8,0.344502595283958
